bug type,species,sym_index,Median_R,Median_G,Median_B,Std_R,Std_G,Std_B,Area
Bee,Apis mellifera,143.94824216666666,24.0,37.0,56.0,36.250746957434146,45.31119677847548,47.95539885174279,178273.0
Bee,Apis mellifera,137.08676025,19.0,34.0,55.0,34.61711714800906,42.86612366915124,42.153507582366665,205272.0
Bee,Apis mellifera,152.48342616666667,52.0,86.0,114.0,54.82359568930629,60.057604243233335,58.771358737184265,530235.0
Bee,Apis mellifera,142.10591625,36.0,61.0,88.0,37.44562069722333,46.085759935789255,46.32258744701998,316497.0
Bee,Apis mellifera,118.636537,63.0,91.0,134.0,60.62496157686179,63.02935460689056,62.355944159379916,219951.0
Bee,Apis mellifera,99.32207333333334,55.0,78.0,109.0,48.98237133306402,51.367935803176394,49.635040301149346,142004.0
Bee,Apis mellifera,107.8696285,42.0,70.0,87.0,34.7312952618144,36.76008197680016,41.378749685595174,135810.0
Bee,Apis mellifera,132.83876191666667,24.0,31.0,47.0,37.34231347870207,35.56519093883657,35.66732309580171,178898.0
Bee,Apis mellifera,139.06205216666666,57.0,64.0,93.0,54.63180011861356,51.89471512942587,52.732799317948796,172786.0
Bee,Apis mellifera,131.86875333333333,45.0,48.0,80.0,50.82663964478941,48.940955589111375,52.421580903079956,378803.0
Bee,Apis mellifera,146.93346208333332,80.0,90.0,124.0,46.70092122044392,42.444656220199164,45.803679936669866,327142.0
Bee,Apis mellifera,149.491912,73.0,72.0,108.0,51.19626268048717,37.59269577267751,44.65068681391222,432962.0
Bee,Apis mellifera,106.81567716666666,43.0,71.0,100.0,39.571520268566786,42.876857840358,47.95069201817519,391680.0
Bee,Apis mellifera,130.45986941666666,91.0,103.0,136.0,51.476520825641344,48.880828105755334,52.058052457108026,263905.0
Bee,Apis mellifera,137.78585416666667,82.0,98.0,125.0,41.51759547181145,45.32117091181391,51.20761591548066,383056.0
Bee,Apis mellifera,144.105625,62.0,84.0,100.0,34.577447206776284,40.779495418282835,46.72087409835105,403361.0
Bee,Apis mellifera,104.82091991666667,66.0,110.0,117.0,44.37497448299413,47.316375523208166,48.48137159819929,355000.0
Bee,Apis mellifera,91.6250995,88.0,110.0,133.0,48.838744966496066,47.94826171025702,49.88789876042,329745.0
Bee,Apis mellifera,137.03711641666666,63.0,96.0,106.0,33.291459253625874,38.378635814192705,37.61886929520965,296999.0
Bee,Apis mellifera,149.423241,49.0,61.0,88.0,45.91920867052079,47.40641279561773,55.176732906759455,464079.0
Bee,Apis mellifera,128.32204408333334,97.0,104.0,119.0,45.57098349711393,37.92597211324466,41.17356949408644,385051.0
Bee,Apis mellifera,160.08966041666667,99.0,111.0,162.0,66.66994484915563,59.33762373155934,68.41924353979219,331522.0
Bee,Apis mellifera,118.83758775,77.0,103.0,119.0,45.55266135576708,47.23387425382862,46.68012376230544,402574.0
Bee,Megachile centuncularis,144.59529725,38.0,44.0,75.0,39.572557564808086,34.653588575305406,44.13648419192887,540115.0
Bee,Apis mellifera,183.9960835,87.0,93.0,103.0,47.7912301368526,49.1074491485846,49.20952044392483,275555.0
Bee,Andrenidae,169.052627,86.0,87.0,110.0,64.9440372654264,56.55186380187379,66.5492462806738,393328.0
Bee,Apis mellifera,114.08896416666667,52.0,69.0,108.0,40.269370113630174,41.26398317986863,44.818181233127966,90361.0
Bee,Apis mellifera,139.0479865,111.0,141.0,170.0,61.91163808046151,59.31760473583041,59.95392429036542,181524.0
Bee,Andrenidae,141.63839266666668,58.0,72.0,93.0,50.898943945973706,54.294386697339334,57.23678949877992,358205.0
Bee,Apis mellifera,125.759932,69.0,100.0,132.0,48.50761106977822,44.215559712641294,49.31233198542779,428531.0
Bee,Apis mellifera,128.25546408333332,95.0,120.0,139.0,47.636720636277026,49.40002021304442,50.07429689633073,272691.0
Bee,Apis mellifera & Megachile centuncularis,137.09609941666668,58.0,61.0,81.0,58.4508225082855,60.86169712378821,68.51819481171877,236740.0
Bee,Apis mellifera,138.038435,42.0,63.0,77.0,44.80968301857646,50.38532092925722,55.26763536673864,195742.0
Bee,Apis mellifera,110.4310615,32.0,51.0,70.0,36.99091697421535,48.33149801074276,51.36076854892605,193068.0
Bee,Apis mellifera,122.29820808333334,28.0,37.0,57.0,47.202185127609326,49.54143218502413,48.88376754416178,130014.0
Bee,Apis mellifera,147.99359675,65.0,97.0,118.0,35.49956243091117,46.22214215543448,50.74702261561175,226976.0
Bee,Apis mellifera,83.49877,88.0,128.0,151.0,53.26071983321595,62.29575644122234,63.649250228512116,250740.0
Bee,Apis mellifera,142.84964575,65.0,91.0,109.0,44.09892690013977,45.57876729105866,47.0269654511318,277680.0
Bee,Apis mellifera,127.49497308333333,45.0,65.0,87.0,41.984803141630564,44.588168680582804,50.42578035191402,398036.0
Bee,Andrenidae,106.45764883333334,52.0,72.0,90.0,29.165267430624247,34.21862788441932,39.00912966808919,352830.0
Bee,Andrenidae,158.64819525,62.0,89.0,101.0,52.38133532489902,55.90193502779787,55.84521327246895,225348.0
Bee,Apis mellifera,136.41536725,68.0,91.0,102.0,42.863069925176816,45.36817958514439,46.35064452495959,318093.0
Bee,Apis mellifera,147.2444635,79.0,84.0,122.0,42.7223091356638,44.95245864803391,47.997968805838184,465392.0
Bee,Apis mellifera,117.17271408333333,85.0,106.0,127.0,45.4659651759151,45.19593159362092,48.30789912342913,301304.0
Bee,Megachile centuncularis,133.75976,32.0,68.0,79.0,42.0420930194357,42.821848000722376,46.04028813402557,326770.0
Bee,Megachile centuncularis,140.40223483333332,60.0,84.0,98.0,44.161856556183146,42.30267497143862,45.11698340433194,502427.0
Bee,Megachile centuncularis,114.875117,97.0,78.0,87.0,66.94287514806042,52.427298011592725,59.198221012859946,290784.0
