bug type,species,sym_index,Median_R,Median_G,Median_B,Std_R,Std_G,Std_B,Area,Orthogonal_Lines,Mean_Intensity,Bug_to_Total_Ratio,Min_R_bug,Min_G_bug,Min_B_bug,Max_R_bug,Max_G_bug,Max_B_bug,Mean_R_bug,Mean_G_bug,Mean_B_bug
Bee,Apis mellifera,143.94824216666666,24.0,37.0,56.0,36.250746957434146,45.31119677847548,47.95539885174279,178273.0,1.3416407864998738,0.4032447638888889,0.007428041666666667,0.0,3.0,5.0,193.0,199.0,208.0,39.89196905869088,54.88274724719952,68.08574489687165
Bee,Apis mellifera,137.08676025,19.0,34.0,55.0,34.61711714800906,42.86612366915124,42.153507582366665,205272.0,1.2747548783981961,0.43221529166666667,0.008553,0.0,2.0,2.0,244.0,251.0,248.0,35.735146537277366,52.07965041505904,63.786497914961615
Bee,Apis mellifera,152.48342616666667,52.0,86.0,114.0,54.82359568930629,60.057604243233335,58.771358737184265,530235.0,1.0,1.902616375,0.022093125,0.0,0.0,3.0,255.0,255.0,255.0,63.38304336756344,87.79470989278339,107.17633313530793
Bee,Apis mellifera,142.10591625,36.0,61.0,88.0,37.44562069722333,46.085759935789255,46.32258744701998,316497.0,1.3416407864998738,0.9189518055555556,0.013187375,0.0,3.0,5.0,201.0,213.0,219.0,50.43253490554413,71.03185180270272,87.58824254258334
Bee,Apis mellifera,118.636537,63.0,91.0,134.0,60.62496157686179,63.02935460689056,62.355944159379916,219951.0,1.0004605470641024,0.9318014444444445,0.009164625,0.0,0.0,6.0,245.0,250.0,255.0,80.94616982873458,100.89796363735559,123.1770030597724
Bee,Apis mellifera,99.32207333333334,55.0,78.0,109.0,48.98237133306402,51.367935803176394,49.635040301149346,142004.0,1.0016550855683923,0.4994303333333333,0.005916833333333333,0.0,4.0,7.0,204.0,199.0,201.0,68.36625024647194,84.3832779358328,100.47562040505902
Bee,Apis mellifera,107.8696285,42.0,70.0,87.0,34.7312952618144,36.76008197680016,41.378749685595174,135810.0,1.5811388300841895,0.4061686388888889,0.00565875,4.0,9.0,11.0,223.0,234.0,238.0,50.997989838745305,72.75433325970106,91.57896325749209
Bee,Apis mellifera,132.83876191666667,24.0,31.0,47.0,37.34231347870207,35.56519093883657,35.66732309580171,178898.0,1.3416407864998738,0.3373578611111111,0.007454083333333333,3.0,4.0,4.0,183.0,171.0,168.0,36.929926550324765,43.240164786638196,55.60429406701025
Bee,Apis mellifera,139.06205216666666,57.0,64.0,93.0,54.63180011861356,51.89471512942587,52.732799317948796,172786.0,1.0008005646035583,0.5453836666666667,0.0071994166666666665,0.0,3.0,6.0,254.0,255.0,255.0,68.25091731969026,71.39061613788154,87.62007338557522
Bee,Apis mellifera,131.86875333333333,45.0,48.0,80.0,50.82663964478941,48.940955589111375,52.421580903079956,378803.0,1.0013484385632025,1.0893198194444444,0.015783458333333333,0.0,0.0,4.0,255.0,255.0,255.0,60.44038193995296,63.63256362805997,82.97670029012441
Bee,Apis mellifera,146.93346208333332,80.0,90.0,124.0,46.70092122044392,42.444656220199164,45.803679936669866,327142.0,1.0,1.3258072777777778,0.013630916666666666,0.0,2.0,12.0,255.0,246.0,255.0,82.30172524469496,89.04904292325656,120.44338849796112
Bee,Apis mellifera,149.491912,73.0,72.0,108.0,51.19626268048717,37.59269577267751,44.65068681391222,432962.0,1.001194400272007,1.609888,0.018040083333333335,0.0,0.0,10.0,255.0,195.0,235.0,82.70238727648155,75.59593451619311,109.42017544264854
Bee,Apis mellifera,106.81567716666666,43.0,71.0,100.0,39.571520268566786,42.876857840358,47.95069201817519,391680.0,1.000105694988223,1.2831033472222222,0.01632,0.0,3.0,5.0,255.0,255.0,255.0,52.593098958333336,78.35397263071896,104.91751429738562
Bee,Apis mellifera,130.45986941666666,91.0,103.0,136.0,51.476520825641344,48.880828105755334,52.058052457108026,263905.0,1.0022231125748158,1.2608750277777778,0.010996041666666666,0.0,0.0,10.0,255.0,245.0,255.0,99.5560296318751,107.28282525908945,137.159940129971
