bug type,Orthogonal_Lines,Mean_Intensity,Bug_to_Total_Ratio,Min_R_bug,Min_G_bug,Min_B_bug,Max_R_bug,Max_G_bug,Max_B_bug,Mean_R_bug,Mean_G_bug,Mean_B_bug,Voting,Voting_Recognition
Bee,1.0,1.416773638888889,0.01195925,3.0,3.0,6.0,255.0,255.0,255.0,103.18029976796204,111.76824076203218,140.45174934325593,Bee,True
Hover fly,1.0009846478951645,1.1852459722222222,0.0130324583333333,0.0,5.0,9.0,255.0,255.0,255.0,63.858932345202206,90.71182208524228,118.26632862180644,Bee,False
Bee,1.0009124538600358,0.5243976527777777,0.007123375,0.0,0.0,0.0,255.0,255.0,255.0,67.02446756862676,68.95140997069507,84.87350331362124,Bee,True
Bumblebee,1.0000559587856808,1.2363439444444444,0.0141788333333333,0.0,0.0,4.0,255.0,255.0,255.0,73.02051767305726,79.07836505119133,109.49046994933762,Bee,False
Bumblebee,1.0,2.4981956666666667,0.02707825,0.0,0.0,7.0,247.0,234.0,255.0,63.80490645936622,96.80323537648604,116.16701904049684,Bumblebee,True
Hover fly,1.0,1.7721052222222222,0.0169653333333333,1.0,3.0,6.0,255.0,255.0,255.0,76.27223406554542,108.82296005580008,128.26827255580005,Bee,False
Bee,1.0,1.7560200416666667,0.0209344583333333,0.0,0.0,5.0,241.0,243.0,255.0,68.4666369442725,84.42244744012564,98.75631484772912,Bee,True
Bee,1.0010472879443764,2.036446444444445,0.021076625,10.0,0.0,13.0,255.0,219.0,245.0,102.70735747935608,66.45348816520672,120.70241914917592,Bee,True
Bumblebee,1.0,3.288214180555556,0.0434161666666666,0.0,0.0,0.0,255.0,255.0,255.0,64.87893814516099,76.08669197725885,86.24564390376857,Bumblebee,True
Bumblebee,1.0,0.9342482777777776,0.016076375,0.0,2.0,3.0,255.0,255.0,247.0,45.41641591051051,58.93270145373776,69.99023670862782,Bumblebee,True
Bumblebee,1.0,3.246215888888889,0.038646,0.0,0.0,3.0,255.0,255.0,255.0,70.2089996377374,81.1874935310252,100.59977207645466,Bumblebee,True
Hover fly,1.000219775238104,6.9701515277777775,0.0690187916666666,0.0,2.0,4.0,255.0,255.0,255.0,81.30301047238946,105.4775716275338,116.18697323373888,Butterfly,False
Bumblebee,1.001885843347033,1.4087110047768152,0.015821865720477,0.0,1.0,3.0,255.0,243.0,255.0,82.13378505099458,84.79046579753201,100.18287096586808,Bee,False
Bumblebee,1.001112549292507,2.7440794444444445,0.026822125,0.0,10.0,14.0,255.0,255.0,255.0,81.6183079578271,98.99759371538732,126.30378993710106,Bumblebee,True
Bee,1.0,2.742187375,0.026548125,10.0,7.0,12.0,255.0,205.0,241.0,101.20818482158973,84.9378581349907,123.72752156068776,Bee,True
Bumblebee,1.000551642575874,1.7793535555555555,0.03745425,0.0,0.0,0.0,255.0,208.0,230.0,47.06847353771602,44.90806673029986,50.54562121343595,Bumblebee,True
Bee,1.0005114759326437,0.6519789583333333,0.0085278333333333,0.0,0.0,0.0,255.0,255.0,255.0,59.92730177653566,76.86732659722087,92.5645533253855,Bee,True
Bumblebee,1.0005326612009682,2.2148164305555555,0.0354351666666666,0.0,0.0,0.0,255.0,255.0,255.0,44.20790551758846,63.96975109472229,79.33237697014737,Bumblebee,True
Bee,1.0,2.2709538888888887,0.0173024166666666,8.0,7.0,14.0,255.0,242.0,255.0,121.5345809111444,124.11433614764796,148.1031118003747,Bee,True
Bumblebee,1.0,2.251228097222222,0.0387956666666666,0.0,0.0,1.0,255.0,218.0,236.0,42.42026171307792,56.114034428243706,75.54917430640879,Bumblebee,True
Bumblebee,1.0,1.965130888888889,0.034826875,0.0,0.0,0.0,226.0,201.0,225.0,50.09537653512314,57.78973972447045,61.39199133810695,Bumblebee,True
Bumblebee,1.0,1.7679865694444443,0.035679375,0.0,0.0,1.0,255.0,255.0,255.0,44.946043757773225,44.63228288985817,59.077856604831226,Bumblebee,True
