Bug_type,Recognition,Predicted_Bug,True_or_False
Bee,Bee,Other,False
Bee,Bee,Bee,True
Bee,Bee,Bee,True
Bumblebee,Bumblebee,Bumblebee,True
Bee,Bee,Bee,True
Bee,Bee,Bee,True
Bee,Bee,Bee,True
Bumblebee,Bumblebee,Bumblebee,True
Bee,Bee,Bee,True
Other,Other,Other,True
Other,Other,Other,True
Other,Other,Other,True
Other,Other,Other,True
Other,Other,Bee,False
Bee,Bee,Bee,True
Bee,Bee,Bee,True
Bee,Bee,Bee,True
Bee,Bee,Bee,True
Bee,Bee,Bee,True
Bee,Bee,Bee,True
Bumblebee,Bumblebee,Bumblebee,True
Bee,Bee,Bee,True
Bumblebee,Bumblebee,Bumblebee,True
Bee,Bee,Bumblebee,False
Other,Other,Bumblebee,False
Other,Other,Bee,False
Bumblebee,Bumblebee,Bumblebee,True
Bee,Bee,Bee,True
Bee,Bee,Bee,True
Bumblebee,Bumblebee,Bumblebee,True
Bee,Bee,Other,False
Bee,Bee,Bee,True
Bumblebee,Bumblebee,Bumblebee,True
Bee,Bee,Bumblebee,False
Bee,Bee,Bumblebee,False
Bee,Bee,Bee,True
Bumblebee,Bumblebee,Bumblebee,True
Bumblebee,Bumblebee,Bumblebee,True
Bee,Bee,Bee,True
Bee,Bee,Bee,True
Bumblebee,Bumblebee,Bumblebee,True
Bumblebee,Bumblebee,Bee,False
Bee,Bee,Bee,True
Bumblebee,Bumblebee,Bumblebee,True
Bee,Bee,Bee,True
Bumblebee,Bumblebee,Bumblebee,True
Bee,Bee,Bee,True
Bee,Bee,Bee,True
Bee,Bee,Bee,True
Bee,Bee,Bee,True
